,track_duration(ms),track_number,track_title,album_title,release_date
0,91080,1,Wu-Tang The Saga Continues Intro (feat. RZA),The Saga Continues,2017-10-13
1,202666,2,Lesson Learn'd (feat. Inspectah Deck and Redman),The Saga Continues,2017-10-13
2,222310,3,Fast and Furious (feat. Hue Hef and Raekwon),The Saga Continues,2017-10-13
3,80606,4,Famous Fighters (Skit),The Saga Continues,2017-10-13
4,233846,5,If Time Is Money (Fly Navigation) [feat. Method Man],The Saga Continues,2017-10-13
5,249604,6,"Frozen (feat. Method Man, Killa Priest and Chris Rivers)",The Saga Continues,2017-10-13
6,45250,7,Berto and the Fiend (Skit) [feat. Ghostface Killa],The Saga Continues,2017-10-13
7,298999,8,"Pearl Harbor (feat. Ghostface Killah, Method Man, RZA and Sean Price)",The Saga Continues,2017-10-13
8,264392,9,People Say (feat. Redman),The Saga Continues,2017-10-13
9,66937,10,Family (Skit),The Saga Continues,2017-10-13
10,240000,11,Why Why Why (feat. RZA and Swnkah),The Saga Continues,2017-10-13
11,264986,12,"G'd up (feat. Method Man, R-Mean and Mzee Jones)",The Saga Continues,2017-10-13
12,235498,13,If What You Say Is True (feat. Streetlife),The Saga Continues,2017-10-13
13,58041,14,Saga (Skit) [feat. RZA,The Saga Continues,2017-10-13
14,92307,15,Hood Go Bang! (feat. Redman and Method Man),The Saga Continues,2017-10-13
15,284000,16,"My Only One (feat. Ghostface Killah, RZA, Cappadonna, and Steven Latorre)",The Saga Continues,2017-10-13
16,125190,17,Message,The Saga Continues,2017-10-13
17,45352,18,The Saga Continues Outro (feat. RZA),The Saga Continues,2017-10-13
18,91080,1,Wu-Tang The Saga Continues Intro (feat. RZA),The Saga Continues,2017-10-13
19,202666,2,Lesson Learn'd (feat. Inspectah Deck and Redman),The Saga Continues,2017-10-13
20,222310,3,Fast and Furious (feat. Hue Hef and Raekwon),The Saga Continues,2017-10-13
21,80606,4,Famous Fighters (Skit),The Saga Continues,2017-10-13
22,233846,5,If Time Is Money (Fly Navigation) [feat. Method Man],The Saga Continues,2017-10-13
23,249604,6,"Frozen (feat. Method Man, Killa Priest and Chris Rivers)",The Saga Continues,2017-10-13
24,45250,7,Berto and the Fiend (Skit) [feat. Ghostface Killa],The Saga Continues,2017-10-13
25,298999,8,"Pearl Harbor (feat. Ghostface Killah, Method Man, RZA and Sean Price)",The Saga Continues,2017-10-13
26,264392,9,People Say (feat. Redman),The Saga Continues,2017-10-13
27,66937,10,Family (Skit),The Saga Continues,2017-10-13
28,240000,11,Why Why Why (feat. RZA and Swnkah),The Saga Continues,2017-10-13
29,264986,12,"G'd up (feat. Method Man, R-Mean and Mzee Jones)",The Saga Continues,2017-10-13
30,235498,13,If What You Say Is True (feat. Streetlife),The Saga Continues,2017-10-13
31,58041,14,Saga (Skit) [feat. RZA,The Saga Continues,2017-10-13
32,92307,15,Hood Go Bang! (feat. Redman and Method Man),The Saga Continues,2017-10-13
33,284000,16,"My Only One (feat. Ghostface Killah, RZA, Cappadonna, and Steven Latorre)",The Saga Continues,2017-10-13
34,125190,17,Message,The Saga Continues,2017-10-13
35,45267,18,The Saga Continues Outro (feat. RZA),The Saga Continues,2017-10-13
36,325254,1,Ruckus In B Minor,A Better Tomorrow,2014-12-01
37,229462,2,Felt,A Better Tomorrow,2014-12-01
38,266263,3,40th Street Black / We Will Fight,A Better Tomorrow,2014-12-01
39,342866,4,Mistaken Identity,A Better Tomorrow,2014-12-01
40,247528,5,Hold The Heater,A Better Tomorrow,2014-12-01
41,146046,6,Crushed Egos,A Better Tomorrow,2014-12-01
42,265633,7,Keep Watch,A Better Tomorrow,2014-12-01
43,302969,8,Miracle,A Better Tomorrow,2014-12-01
44,313206,9,Preacher's Daughter,A Better Tomorrow,2014-12-01
45,238694,10,Pioneer The Frontier,A Better Tomorrow,2014-12-01
46,251476,11,Necklace,A Better Tomorrow,2014-12-01
47,268496,12,Ron O'Neal,A Better Tomorrow,2014-12-01
48,264440,13,A Better Tomorrow,A Better Tomorrow,2014-12-01
49,322200,14,Never Let Go,A Better Tomorrow,2014-12-01
50,213626,15,Wu-Tang Reunion,A Better Tomorrow,2014-12-01
51,324733,1,Ruckus In B Minor,A Better Tomorrow,2014-11-28
52,230933,2,Felt,A Better Tomorrow,2014-11-28
53,266253,3,40th Street Black / We Will Fight,A Better Tomorrow,2014-11-28
54,344280,4,Mistaken Identity,A Better Tomorrow,2014-11-28
55,247613,5,Hold The Heater,A Better Tomorrow,2014-11-28
56,146026,6,Crushed Egos,A Better Tomorrow,2014-11-28
57,265373,7,Keep Watch,A Better Tomorrow,2014-11-28
58,303266,8,Miracle,A Better Tomorrow,2014-11-28
59,313186,9,Preacher's Daughter,A Better Tomorrow,2014-11-28
60,238693,10,Pioneer The Frontier,A Better Tomorrow,2014-11-28
61,251440,11,Necklace,A Better Tomorrow,2014-11-28
62,268466,12,Ron O'Neal,A Better Tomorrow,2014-11-28
63,264440,13,A Better Tomorrow,A Better Tomorrow,2014-11-28
64,322200,14,Never Let Go,A Better Tomorrow,2014-11-28
65,213626,15,Wu-Tang Reunion,A Better Tomorrow,2014-11-28
66,225440,1,Start the Show (feat. Raekwon & RZA),Legendary Weapons,2011-07-26
67,207000,2,"Laced Cheeba (feat. Ghostface, Sean Price, & Trife Diesel)",Legendary Weapons,2011-07-26
68,247533,3,"Diesel Fluid (feat. Method Man, Trife Diesel & Cappadonna)",Legendary Weapons,2011-07-26
