,track_duration(ms),track_number,track_title,album_title,release_date
0,91080,1,Wu-Tang The Saga Continues Intro (feat. RZA),The Saga Continues,10/13/17
1,202666,2,Lesson Learn'd (feat. Inspectah Deck and Redman),The Saga Continues,10/13/17
2,222310,3,Fast and Furious (feat. Hue Hef and Raekwon),The Saga Continues,10/13/17
3,80606,4,Famous Fighters (Skit),The Saga Continues,10/13/17
4,233846,5,If Time Is Money (Fly Navigation) [feat. Method Man],The Saga Continues,10/13/17
5,249604,6,"Frozen (feat. Method Man, Killa Priest and Chris Rivers)",The Saga Continues,10/13/17
6,45250,7,Berto and the Fiend (Skit) [feat. Ghostface Killa],The Saga Continues,10/13/17
7,298999,8,"Pearl Harbor (feat. Ghostface Killah, Method Man, RZA and Sean Price)",The Saga Continues,10/13/17
8,264392,9,People Say (feat. Redman),The Saga Continues,10/13/17
9,66937,10,Family (Skit),The Saga Continues,10/13/17
10,240000,11,Why Why Why (feat. RZA and Swnkah),The Saga Continues,10/13/17
11,264986,12,"G'd up (feat. Method Man, R-Mean and Mzee Jones)",The Saga Continues,10/13/17
12,235498,13,If What You Say Is True (feat. Streetlife),The Saga Continues,10/13/17
13,58041,14,Saga (Skit) [feat. RZA,The Saga Continues,10/13/17
14,92307,15,Hood Go Bang! (feat. Redman and Method Man),The Saga Continues,10/13/17
15,284000,16,"My Only One (feat. Ghostface Killah, RZA, Cappadonna, and Steven Latorre)",The Saga Continues,10/13/17
16,125190,17,Message,The Saga Continues,10/13/17
17,45352,18,The Saga Continues Outro (feat. RZA),The Saga Continues,10/13/17
18,91080,1,Wu-Tang The Saga Continues Intro (feat. RZA),The Saga Continues,10/13/17
19,202666,2,Lesson Learn'd (feat. Inspectah Deck and Redman),The Saga Continues,10/13/17
20,222310,3,Fast and Furious (feat. Hue Hef and Raekwon),The Saga Continues,10/13/17
21,80606,4,Famous Fighters (Skit),The Saga Continues,10/13/17
22,233846,5,If Time Is Money (Fly Navigation) [feat. Method Man],The Saga Continues,10/13/17
23,249604,6,"Frozen (feat. Method Man, Killa Priest and Chris Rivers)",The Saga Continues,10/13/17
24,45250,7,Berto and the Fiend (Skit) [feat. Ghostface Killa],The Saga Continues,10/13/17
25,298999,8,"Pearl Harbor (feat. Ghostface Killah, Method Man, RZA and Sean Price)",The Saga Continues,10/13/17
26,264392,9,People Say (feat. Redman),The Saga Continues,10/13/17
27,66937,10,Family (Skit),The Saga Continues,10/13/17
28,240000,11,Why Why Why (feat. RZA and Swnkah),The Saga Continues,10/13/17
29,264986,12,"G'd up (feat. Method Man, R-Mean and Mzee Jones)",The Saga Continues,10/13/17
30,235498,13,If What You Say Is True (feat. Streetlife),The Saga Continues,10/13/17
31,58041,14,Saga (Skit) [feat. RZA,The Saga Continues,10/13/17
32,92307,15,Hood Go Bang! (feat. Redman and Method Man),The Saga Continues,10/13/17
33,284000,16,"My Only One (feat. Ghostface Killah, RZA, Cappadonna, and Steven Latorre)",The Saga Continues,10/13/17
34,125190,17,Message,The Saga Continues,10/13/17
35,45267,18,The Saga Continues Outro (feat. RZA),The Saga Continues,10/13/17
36,325254,1,Ruckus In B Minor,A Better Tomorrow,12/1/14
37,229462,2,Felt,A Better Tomorrow,12/1/14
38,266263,3,40th Street Black / We Will Fight,A Better Tomorrow,12/1/14
39,342866,4,Mistaken Identity,A Better Tomorrow,12/1/14
40,247528,5,Hold The Heater,A Better Tomorrow,12/1/14
41,146046,6,Crushed Egos,A Better Tomorrow,12/1/14
42,265633,7,Keep Watch,A Better Tomorrow,12/1/14
43,302969,8,Miracle,A Better Tomorrow,12/1/14
44,313206,9,Preacher's Daughter,A Better Tomorrow,12/1/14
45,238694,10,Pioneer The Frontier,A Better Tomorrow,12/1/14
46,251476,11,Necklace,A Better Tomorrow,12/1/14
47,268496,12,Ron O'Neal,A Better Tomorrow,12/1/14
48,264440,13,A Better Tomorrow,A Better Tomorrow,12/1/14
49,322200,14,Never Let Go,A Better Tomorrow,12/1/14
50,213626,15,Wu-Tang Reunion,A Better Tomorrow,12/1/14
51,324733,1,Ruckus In B Minor,A Better Tomorrow,11/28/14
52,230933,2,Felt,A Better Tomorrow,11/28/14
53,266253,3,40th Street Black / We Will Fight,A Better Tomorrow,11/28/14
54,344280,4,Mistaken Identity,A Better Tomorrow,11/28/14
55,247613,5,Hold The Heater,A Better Tomorrow,11/28/14
56,146026,6,Crushed Egos,A Better Tomorrow,11/28/14
57,265373,7,Keep Watch,A Better Tomorrow,11/28/14
58,303266,8,Miracle,A Better Tomorrow,11/28/14
59,313186,9,Preacher's Daughter,A Better Tomorrow,11/28/14
60,238693,10,Pioneer The Frontier,A Better Tomorrow,11/28/14
61,251440,11,Necklace,A Better Tomorrow,11/28/14
